director_id	name
nm0000570	Alan Parker
nm0000576	Sean Penn
nm0000581	Joseph L. Mankiewicz
nm0000583	Wolfgang Petersen
nm0000591	Roman Polanski
nm0000600	Sam Raimi
nm0000601	Harold Ramis
nm0000602	Robert Redford
nm0000614	Alan Rickman
nm0000626	John Sayles
nm0000631	Ridley Scott
nm0000638	William Shatner
nm0000659	Barbra Streisand
nm0000662	Kiefer Sutherland
nm0000671	Billy Bob Thornton
nm0000682	Paul Verhoeven
nm0000691	John Waters
nm0000694	Wim Wenders
nm0000697	Billy Wilder
nm0000709	Robert Zemeckis
nm0000712	Steve Cohen
nm0000720	Jim Abrahams
nm0000750	Jon Amiel
nm0000759	Paul Thomas Anderson
nm0000770	David Anspaugh
nm0000776	Michael Apted
nm0000777	Gregg Araki
nm0000778	Alfonso Arau
nm0000780	Denys Arcand
nm0000786	George Armitage
nm0000788	Gillian Armstrong
nm0000797	Hal Ashby
nm0000806	Bille August
nm0000808	Paul Auster
nm0000812	Roger Avary
nm0000814	John G. Avildsen
nm0000816	Jon Avnet
nm0000824	John Badham
nm0000829	Stuart Baird
nm0000850	Clive Barker
nm0000853	Bruno Barreto
nm0000876	Noah Baumbach
nm0000881	Michael Bay
nm0000887	Harold Becker
nm0000894	Jean-Jacques Beineix
nm0000905	Roberto Benigni
nm0000907	Richard Benjamin
nm0000914	Robert Benton
nm0000915	Bruce Beresford
nm0000921	Andrew Bergman
nm0000923	Busby Berkeley
nm0000934	Bernardo Bertolucci
nm0000941	Kathryn Bigelow
nm0000944	Antonia Bird
nm0000952	Hart Bochner
nm0000957	Jan de Bont
nm0000958	John Boorman
nm0000965	Danny Boyle
nm0000983	Albert Brooks
nm0000985	James L. Brooks
nm0001005	Jane Campion
nm0001008	Frank Capra
nm0001023	John Cassavetes
nm0001024	Nick Cassavetes
nm0001031	Claude Chabrol
nm0001045	Tommy Chong
nm0001047	Michael Cimino
nm0001053	Ethan Coen
nm0001054	Joel Coen
nm0001060	Chris Columbus
nm0001081	Cameron Crowe
nm0001093	John Dahl
nm0001102	Joe Dante
nm0001104	Frank Darabont
nm0001112	Andrew Davis
nm0001120	Vittorio De Sica
nm0001129	Jonathan Demme
nm0001130	Ted Demme
nm0001139	Tom DiCillo
nm0001149	Richard Donner
nm0001162	Griffin Dunne
nm0001175	Blake Edwards
nm0001188	Nora Ephron
nm0001206	Abel Ferrara
nm0001214	Mike Figgis
nm0001219	Gary Fleder
nm0001226	James Foley
nm0001232	Milos Forman
nm0001239	John Frankenheimer
nm0001241	Stephen Frears
nm0001243	William Friedkin
nm0001270	Brian Gibson
nm0001274	Paul Michael Glaser
nm0001302	Christopher Guest
nm0001317	Renny Harlin
nm0001325	Hal Hartley
nm0001328	Howard Hawks
nm0001331	Todd Haynes
nm0001348	Werner Herzog
nm0001351	George Roy Hill
nm0001353	Walter Hill
nm0001355	Michael Hoffman
nm0001378	Anjelica Huston
nm0001379	John Huston
nm0001382	Peter Hyams
nm0001392	Peter Jackson
nm0001402	Terry Jones
nm0001403	Neil Jordan
nm0001410	Lawrence Kasdan
nm0001415	Elia Kazan
nm0001425	Krzysztof Kieslowski
nm0001428	Klaus Kinski
nm0001429	Takeshi Kitano
nm0001437	Emir Kusturica
nm0001438	Neil LaBute
nm0001454	Martin Lawrence
nm0001460	Mimi Leder
nm0001466	Sergio Leone
nm0001469	Barry Levinson
nm0001486	Sidney Lumet
nm0001501	Louis Malle
nm0001502	Luis Mandoki
nm0001508	Penny Marshall
nm0001532	John McTiernan
nm0001554	Errol Morris
nm0001565	Mike Newell
nm0001566	Mike Nichols
nm0001587	Alan J. Pakula
nm0001596	Pier Paolo Pasolini
nm0001603	Sam Peckinpah
nm0001628	Sydney Pollack
nm0001639	Alex Proyas
nm0001661	Rob Reiner
nm0001675	Robert Rodriguez
nm0001676	Nicolas Roeg
nm0001681	George A. Romero
nm0001707	Paul Schrader
nm0001708	Joel Schumacher
nm0001714	Campbell Scott
nm0001716	Tony Scott
nm0001723	Tom Shadyac
nm0001741	Bryan Singer
nm0001747	Charles Martin Smith
nm0001752	Steven Soderbergh
nm0001754	Todd Solondz
nm0001756	Barry Sonnenfeld
nm0001774	Ben Stiller
nm0001775	Whit Stillman
nm0001779	Tom Stoppard
nm0001789	Andrei Tarkovsky
nm0001804	Stanley Tucci
nm0001806	John Turturro
nm0001814	Gus Van Sant
nm0001837	Peter Weir
nm0001843	James Whale
nm0001845	Forest Whitaker
nm0001873	Steven Zaillian
nm0001874	Franco Zeffirelli
nm0001880	Edward Zwick
nm0001885	Lars von Trier
nm0001915	Emile Ardolino
nm0001929	Josiane Balasko
nm0001945	Claude Berri
nm0001949	Andrew Birkin
nm0001988	Marc Caro
nm0001994	Michael Caton-Jones
nm0002020	Costa-Gavras
nm0002030	George Cukor
nm0002031	Michael Curtiz
nm0002044	Roger Donaldson
nm0002045	Stanley Donen
nm0002049	Robert Downey Sr.
nm0002083	Carl Franklin
nm0002120	Lasse Hallström
nm0002132	Amy Heckerling
nm0002137	Arthur Hiller
nm0002140	Agnieszka Holland
nm0002167	Gianni Amelio
nm0002174	Yves Angelo
nm0002175	Ken Annakin
nm0002190	Anthony Asquith
nm0002338	Jack Clayton
nm0002340	Stuart Gordon
nm0002376	David Hare
nm0002416	John O'Hagan
nm0002653	Joe Johnston
nm0003031	Caroline Thompson
nm0003080	Rachel Talalay
nm0003088	Chris Noonan
nm0003201	Tim Sullivan
nm0003355	Christopher Monger
nm0003418	Rob Cohen
nm0003423	Peter MacDonald
nm0003506	James Mangold
nm0003508	Michel Blanc
nm0003593	Fred Zinnemann
nm0003620	Kevin Smith
nm0003638	F.W. Murnau
nm0003927	Gyula Gazdag
nm0003941	David Winning
nm0004121	Mikael Salomon
nm0004305	George Miller
nm0004365	Fred Williamson
nm0004675	Phil Alden Robinson
nm0004693	Lou Adler
nm0004767	Joseph Bologna
nm0004838	Martha Coolidge
nm0004886	Bill Duke
nm0005008	Brian Henson
nm0005022	Peter Horton
nm0005062	Chuck Jones
nm0005077	James Keach
nm0005124	John Lasseter
nm0005139	Mike Leigh
nm0005190	Garry Marshall
nm0005196	Paul Mazursky
nm0005237	Anthony Minghella
nm0005347	Tim Reid
nm0005348	Carl Reiner
nm0005366	Jay Roach
nm0005367	Brian Robbins
nm0005390	Patricia Rozema
nm0005421	Ron Shelton
nm0005436	John Singleton
nm0005509	Jon Turteltaub
nm0005522	Mario Van Peebles
nm0005540	Keenen Ivory Wayans
nm0005563	Irwin Winkler
nm0005618	Alex Zamm
nm0005726	Jack N. Green
nm0005871	Dean Semler
nm0005917	Joseph Vilsmaier
nm0006249	Satyajit Ray
nm0006357	Daniel Schmid
nm0006445	Éric Rohmer
nm0006487	Jim Sheridan
nm0006625	Steve Barron
nm0006798	Matthew Harrison
nm0006835	John Francis Sullivan
nm0006841	Udayan Prasad
nm0006845	Sally Potter
nm0006853	Tim Hunter
nm0006854	Roger Spottiswoode
nm0006888	Tom Noonan
nm0006889	Herbert Ross
nm0006916	Michael Ritchie
nm0006959	Dan Ireland
nm0006960	John Madden
nm0007139	Hark Tsui
nm0007366	Jefri Aalmuhammed
nm0010012	Robert Allan Ackerman
nm0012155	Gilbert Adler
nm0019282	James Algar
nm0019341	Daniel Algrant
nm0020728	Kevin Allen
nm0021249	Roger Allers
nm0021577	Merzak Allouache
nm0021899	Michael Almereyda
nm0023469	Joe Alves
nm0025978	Allison Anders
nm0027183	Michael Anderson
nm0027271	Paul W.S. Anderson
nm0027572	Wes Anderson
nm0029242	André Téchiné
nm0035899	Samuel Armstrong
nm0037278	Larry Arrick
nm0037708	Miguel Arteta
nm0038609	Ash Baron-Cohen
nm0041932	Mark Rydell
nm0042472	Michael Austin
nm0045321	Jean Bach
nm0047076	Steven Baigelman
nm0048745	Marvin Baker
nm0049975	Peter Baldwin
nm0050597	Carroll Ballard
nm0052944	Jack Baran
nm0053157	Norberto Barba
nm0054077	Paris Barclay
nm0057284	Shirley Barrett
nm0059106	Charles Barton
nm0061944	Tristán Bauer
nm0062743	Jack Baxter
nm0067464	Jean-Pierre Bekolo
nm0069715	Rémy Belvaux
nm0069833	María Luisa Bemberg
nm0070142	Roberto Benabib
nm0070159	Jafar Panahi
nm0071611	Bill Bennett
nm0075626	Alain Berliner
nm0075666	Joe Berlinger
nm0075859	Ted Berman
nm0077686	Tom Berry
nm0079471	Jonathan R. Betuel
nm0083279	Patricia Birch
nm0084114	Larry Bishop
nm0086282	Jon Blair
nm0086820	Michael Blakemore
nm0089176	Jason Bloom
nm0089177	Jeffrey Bloom
nm0089502	Albert Pyun
nm0089940	Don Bluth
nm0091076	Sergei Bodrov
nm0095080	René Bonnière
nm0095298	André Bonzel
nm0097079	Ole Bornedal
nm0097491	Phillip Borsos
nm0097529	Dave Borthwick
nm0097648	Frank Borzage
nm0102929	Reb Braddock
nm0104193	Marco Brambilla
nm0104481	Joshua Brand
nm0107141	Aloizs Brencs
nm0109165	Matthew Bright
nm0109359	Steven Brill
nm0112218	Richard Brooks
nm0112374	Nick Broomfield
nm0113164	Bruce Brown
nm0116497	John Bruno
nm0116663	Franco Brusati
nm0118809	Jan Bucquoy
nm0122344	Charles Burnett
nm0122653	Edward Burns
nm0123587	Geoff Burton
nm0125111	Robert Butler
nm0125803	Bobby Farrelly
nm0128225	Andy Cadiff
nm0128835	Barry Caillier
nm0128883	Christopher Cain
nm0131840	Augusto Caminito
nm0132709	Martin Campbell
nm0133044	Anna Campion
nm0134176	Danny Cannon
nm0135199	Cathy Caplan
nm0137363	Carlo Carlei
nm0139111	Glenn Gordon Caron
nm0141222	David Carson
nm0141961	Thomas Carter
nm0145309	Nick Castle
nm0146341	Peter Cattaneo
nm0149446	Gurinder Chadha
nm0149548	Don Chaffey
nm0150707	Gregg Champion
nm0152640	Joe Chappelle
nm0154819	Jeremiah S. Chechik
nm0155093	Peter Chelsom
nm0155280	Kaige Chen
nm0158029	Mel Chionglo
nm0158857	Tsai Ming-liang
nm0160602	Mark Christopher
nm0161205	David Chung
nm0161717	Patrice Chéreau
nm0162013	Jerry Ciccoritti
nm0164187	Larry Clark
nm0166256	Ron Clements
nm0167029	Art Clokey
nm0167496	René Clément
nm0168214	Stacy Cochran
nm0169348	Eli Cohen
nm0169540	Larry Cohen
nm0169940	Peter Cohn
nm0171664	Cyril Collard
nm0174374	Bill Condon
nm0174659	Stijn Coninx
nm0178997	Frank Coraci
nm0179216	Gérard Corbiau
nm0180912	Michael Corrente
nm0181902	George P. Cosmatos
nm0182873	Manny Coto
nm0183183	William Cottrell
nm0184323	Bill Couturié
nm0187769	Charles Crichton
nm0188521	Emma-Kate Croghan
nm0188669	John Cromwell
nm0190859	Alfonso Cuarón
nm0191712	R.J. Cutler
nm0192090	Rusty Cundieff
nm0193303	Dan Curtis
nm0193554	Vondie Curtis-Hall
nm0194274	Catherine Cyran
nm0198765	Damiano Damiani
nm0200978	Jonathan Darby
nm0201094	Jean-Pierre Dardenne
nm0201095	Luc Dardenne
nm0203993	Terence Davies
nm0205542	Tamra Davis
nm0208854	Rolf de Heer
nm0209667	Marcus DeLeon
nm0210701	Manoel de Oliveira
nm0211823	Steven E. de Souza
nm0213100	William Dear
nm0213726	Tom DeCerchio
nm0215269	Fred Dekker
nm0216381	Jean Delannoy
nm0218840	Jacques Demy
nm0219136	Claire Denis
nm0219720	Pen Densham
nm0221133	Mike de Seve
nm0222043	Howard Deutch
nm0225416	Ernest R. Dickerson
nm0227540	Mark Dindal
nm0228013	Djibril Diop Mambéty
nm0228147	Mark A.Z. Dippé
nm0229424	Edward Dmytryk
nm0229914	Kevin James Dobson
nm0230695	Jacques Doillon
nm0231909	Tom Donaghy
nm0233094	Seth Michael Donsky
nm0233757	Jaco Van Dormael
nm0233920	Robert Dornhelm
nm0234893	Russell S. Doughten Jr.
nm0235852	Kevin Dowling
nm0238743	Susan Warms Dryfoos
nm0239822	Rémy Duchemin
nm0240797	Dennis Dugan
nm0240987	Martine Dugowson
nm0240995	Christian Duguay
nm0241090	John Duigan
nm0242064	Peter Duncan
nm0242271	Duwayne Dunham
nm0243191	François Dupeyron
nm0245747	Julia Dyer
nm0246159	Nana Dzhordzhadze
nm0246903	Doris Dörrie
nm0254120	Doug Ellin
nm0254632	Stephan Elliott
nm0254786	David R. Ellis
nm0258066	Félix Enríquez Alcalá
nm0258424	Anne Goursaud
nm0258531	Rob Epstein
nm0262585	Brian Evans
nm0262693	David Mickey Evans
nm0264471	Christian Faber
nm0268380	Peter Farrelly
nm0268513	John Farrow
nm0272568	Norman Ferguson
nm0272704	Guy Ferland
nm0276169	Tom Holland
nm0277439	Nigel Finch
nm0281507	Richard Fleischer
nm0281598	Andrew Fleming
nm0281808	Victor Fleming
nm0284610	Timothy Fong
nm0287025	Bill Forsyth
nm0287198	John Fortenberry
nm0287988	Norman Foster
nm0289439	Victoria Foyt
nm0291205	David Frankel
nm0291442	Howard Franklin
nm0293533	Morgan J. Freeman
nm0295007	Rick Friedberg
nm0295243	Jeffrey Friedman
nm0295576	Chris Frieri
nm0296144	Friðrik Þór Friðriksson
nm0296861	E. Max Frye
nm0298807	Antoine Fuqua
nm0300795	Beth Gage
nm0300816	George Gage
nm0304395	Charles T. Kanganis
nm0305368	Nicole Garcia
nm0306949	Herb Gardner
nm0309382	Leon Gast
nm0309697	Tony Gatlif
nm0313623	Terry George
nm0314104	Fred Gerber
nm0314671	Clyde Geronimi
nm0316592	Rodney Gibbons
nm0317981	Brian Gilbert
nm0318795	Stuart Gillard
nm0318947	Jim Gillespie
nm0320113	Milton Moses Ginsberg
nm0320660	François Girard
nm0322128	Lesli Linka Glatter
nm0322865	Arne Glimcher
nm0324660	Theo van Gogh
nm0325533	Michael Goldenberg
nm0325776	Gary Goldman
nm0326837	Steve Gomer
nm0327064	Nick Gomez
nm0328922	Philip Goodhew
nm0330057	Bryan Gordon
nm0330360	Keith Gordon
nm0331296	Marleen Gorris
nm0331532	Raja Gosnell
nm0331606	Bob Gosse
nm0331998	Michael Gottlieb
nm0332392	Heywood Gould
nm0333641	Gustavo Graef Marino
nm0335455	James Edward Grant
nm0336241	Alex Graves
nm0336620	F. Gary Gray
nm0336695	James Gray
nm0336726	John Gray
nm0340037	Leslie Greif
nm0343260	Ulu Grosbard
nm0349425	Tomás Gutiérrez Alea
nm0350455	Stephen Gyllenhaal
nm0351410	Serif Gören
nm0351993	Philip Haas
nm0354691	John Halas
nm0358960	Christopher Hampton
nm0359457	David Hand
nm0359610	Jim Handley
nm0359735	Thomas Haneke
nm0362738	Rod Hardy
nm0363326	Robert Harling
nm0365131	Monika Harris
nm0366004	Mary Harron
nm0368981	Kayo Hatta
nm0371852	Annette Haywood-Carter
nm0372092	Ping He
nm0373429	T. Hee
nm0373698	Chris Hegedus
nm0375476	Jaime Hellman
nm0376487	John Henderson
nm0378240	Robby Henson
nm0378893	Stephen Herek
nm0379179	Mark Herman
nm0380705	Rowdy Herrington
nm0380980	Marshall Herskovitz
nm0381273	John Herzfeld
nm0381699	Fraser C. Heston
nm0382072	Peter Hewitt
nm0382147	Russ Hexter
nm0382327	Laurent Heynemann
nm0382584	George Hickenlooper
nm0382956	Scott Hicks
nm0384335	Jack Hill
nm0387706	Gregory Hoblit
nm0389415	Gray Hofmeyr
nm0389514	David Hogan
nm0389591	P.J. Hogan
nm0390822	Savage Steve Holland
nm0392237	Nicole Holofcener
nm0393661	Kevin Hooks
nm0394280	Stephen Hopkins
nm0396421	John Hough
nm0398185	Peter Howitt
nm0399003	Jianxin Huang
nm0399737	Reginald Hudlin
nm0400436	Albert Hughes
nm0400441	Allen Hughes
nm0400486	Bronwen Hughes
nm0400652	Howard Hughes
nm0402383	Chris Hunt
nm0402563	Pixote Hunt
nm0405336	Nicholas Hytner
nm0406687	Leon Ichaso
nm0409197	Chris Innis
nm0410139	John Irvin
nm0412465	James Ivory
nm0413875	Mick Jackson
nm0414144	Wilfred Jackson
nm0414312	Alan Jacobs
nm0415245	Benoît Jacquot
nm0415617	Henry Jaglom
nm0416049	Wanda Jakubowska
nm0416945	Steve James
nm0417708	Annabel Jankel
nm0419884	Vadim Jean
nm0422484	Norman Jewison
nm0423333	Phil Joanou
nm0423623	Mark Joffe
nm0423646	Roland Joffé
nm0425540	Kenneth Johnson
nm0425957	Patrick Read Johnson
nm0426510	Aaron Kim Johnston
nm0427468	Amy Holden Jones
nm0429517	Ate de Jong
nm0431918	Mike Judge
nm0434095	Gaston Kaboré
nm0436284	Scott Kalvert
nm0438201	Betty Kaplan
nm0438394	Yvette Kaplan
nm0440799	Sam Henry Kass
nm0440913	Mathieu Kassovitz
nm0441072	Jerzy Kaszubowski
nm0442241	Philip Kaufman
nm0442455	Mika Kaurismäki
nm0443181	Stephen Kay
nm0444857	Douglas Keeve
nm0445033	William Keighley
nm0445933	John Patrick Kelley
nm0449984	Irvin Kershner
nm0450194	Alek Keshishian
nm0450387	Stephen Kessler
nm0452319	Beeban Kidron
nm0453832	Ward Kimball
nm0455214	Robert Lee King
nm0455394	Zalman King
nm0455741	Jack Kinney
nm0455839	Keisuke Kinoshita
nm0458251	Cédric Klapisch
nm0459170	Randal Kleiser
nm0460141	Steve Kloves
nm0462895	David Koepp
nm0465932	Barbara Kopple
nm0467396	Henry Koster
nm0467646	Ted Kotcheff
nm0467942	Jim Kouf
nm0471461	Suri Krishnamma
nm0472495	Lisa Krueger
nm0476071	Robert Kurtzman
nm0477129	Ken Kwapis
nm0477193	Richard Kwietniowski
nm0478441	Gregory La Cava
nm0482681	Ringo Lam
nm0484009	Benoît Lamy
nm0485943	Walter Lang
nm0487567	James Lapine
nm0488272	Christopher Larkin
nm0492087	Julianna Lavin
nm0493369	J.F. Lawton
nm0494889	Robert Leacock
nm0496312	Patrice Leconte
nm0496746	J. Lee Thompson
nm0499724	Michael Lehmann
nm0500552	Mitchell Leisen
nm0500858	Larry Leker
nm0500988	Claude Lelouch
nm0501435	Kasi Lemmons
nm0502577	Brett Leonard
nm0502752	Robert Z. Leonard
nm0502954	John R. Leonetti
nm0505152	Brian Levant
nm0505230	Jeremy Leven
nm0506461	Jefery Levy
nm0506619	Shuki Levy
nm0507390	Joseph H. Lewis
nm0507503	Mark Lewis
nm0509409	Robert Lieberman
nm0510674	Kevin Lima
nm0510731	Doug Liman
nm0512327	Michael Lindsay-Hogg
nm0514546	Dwight H. Little
nm0515255	Jennie Livingston
nm0515891	Luis Llosa
nm0516360	Ken Loach
nm0517597	Joshua Logan
nm0518644	Richard Loncraine
nm0519434	Robert Longo
nm0522844	Stephen Low
nm0523932	Ernst Lubitsch
nm0525303	Baz Luhrmann
nm0527217	Hamilton Luske
nm0527325	Dana Lustig
nm0528337	Jennifer Lynch
nm0528718	Jonathan Lynn
nm0530376	Temístocles López
nm0531751	Hettie Macdonald
nm0533564	Gillies MacKinnon
nm0534665	Guy Maddin
nm0538532	Mohsen Makhmalbaf
nm0538614	Kelly Makin
nm0538938	Curzio Malaparte
nm0540075	Jim Mallon
nm0540468	Mark Malone
nm0541098	Yuri Mamin
nm0541149	Rouben Mamoulian
nm0541391	Milcho Manchevski
nm0541677	Robert Mandel
nm0542649	Anthony Mann
nm0542752	Farhad Mann
nm0544079	Joe Mantello
nm0547446	Edwin L. Marin
nm0548957	Ross Kagan Marks
nm0549658	Richard Marquand
nm0550446	Joel B. Marsden
nm0550881	Frank Marshall
nm0552140	Darnell Martin
nm0552693	Lionel C. Martin
nm0557501	Laetitia Masson
nm0558773	Sean Mathias
nm0559879	Charles Matthau
nm0562645	Les Mayfield
nm0562845	Archie Mayo
nm0563039	Melanie Mayron
nm0564970	Leo McCarey
nm0566506	Bret McCormick
nm0569166	Scott McGehee
nm0569790	Douglas McGrath
nm0570408	Doug McHenry
nm0570995	Jim McKay
nm0572114	Dee McLachlan
nm0572851	Norman Z. McLeod
nm0573732	Sean McNamara
nm0573796	John McNaughton
nm0575361	Nancy Meckler
nm0575389	Peter Medak
nm0576282	Leslie Megahey
nm0576509	Alan Mehrez
nm0577849	James Melkonian
nm0578757	Christopher Menaul
nm0578899	George Mendeluk
nm0579690	Nina Menkes
nm0582481	Tim Metcalfe
nm0583292	Nicholas Meyer
nm0583754	Eric Meza
nm0584297	Bret Michaels
nm0585011	Roger Michell
nm0585012	Scott Michell
nm0586198	George Mihalka
nm0586482	Nikita Mikhalkov
nm0587277	Lewis Milestone
nm0587518	John Milius
nm0588458	Harvey Miller
nm0589106	Paul Miller
nm0589168	Randall Miller
nm0589182	Rebecca Miller
nm0591171	Steve Miner
nm0591450	Rob Minkoff
nm0591486	Vincente Minnelli
nm0592400	David Mirkin
nm0594158	Frédéric Mitterrand
nm0595131	Freida Lee Mock
nm0596571	Rafael Moleón
nm0601619	Michael Moore
nm0602104	Jocelyn Moorhouse
nm0602452	Andrew Morahan
nm0603294	Gérard Mordillat
nm0603588	Gaël Morel
nm0604392	Larry Morey
nm0607407	Paul Morrissey
nm0608084	Rocky Morton
nm0609236	Jonathan Mostow
nm0609549	Greg Mottola
nm0610496	Allan Moyle
nm0611683	Russell Mulcahy
nm0612322	Robert Mulligan
nm0613471	Jimmy T. Murakami
nm0613498	Tôru Murakawa
nm0613981	John Murlowski
nm0614276	Geoff Murphy
nm0615536	Izidore K. Musallam
nm0615780	John Musker
nm0618284	Ray Müller
nm0619762	Mira Nair
nm0620290	Desmond Nakano
nm0622695	Gregory Nava
nm0624516	Michel Negroponte
nm0625166	Barrie Nelson
nm0625458	Jessie Nelson
nm0628890	Mweze Ngangura
nm0629272	Andrew Niccol
nm0629309	Maurizio Nichetti
nm0629387	Gregor Nicholas
nm0630057	Michael A. Nickles
nm0637518	Phillip Noyce
nm0638033	Victor Nunez
nm0638080	Trevor Nunn
nm0638175	Claude Nuridsany
nm0639618	John O'Brien
nm0640157	Raoul O'Connell
nm0640466	Pat O'Connor
nm0642823	Thaddeus O'Sullivan
nm0643043	Vern Oakley
nm0644203	Steve Oedekerk
nm0644467	Susanne Ofteringer
nm0644806	Mo Ogrodnik
nm0646187	Liddy Oldroyd
nm0649097	Max Ophüls
nm0650233	Stuart Orme
nm0650561	James Orr
nm0651900	Mamoru Oshii
nm0651915	Nagisa Ôshima
nm0661910	Nick Park
nm0662529	Oliver Parker
nm0664607	Goran Paskaljevic
nm0664756	John Pasquin
nm0665321	Jonas Pate
nm0665322	Josh Pate
nm0666999	Steven Paul
nm0667630	Mark Pavia
nm0668132	Michael Paxton
nm0668247	Alexander Payne
nm0668500	John Payson
nm0668998	Perce Pearce
nm0669004	Richard Pearce
nm0671862	Roger Vadim
nm0671957	Arthur Penn
nm0672060	D.A. Pennebaker
nm0672543	Clare Peploe
nm0675235	Nickolas Perry
nm0677943	Daniel Petrie Jr.
nm0677951	Daniel Petrie
nm0677953	Donald Petrie
nm0683578	Sam Pillsbury
nm0684596	Lucian Pintilie
nm0686884	Lucas Platt
nm0688143	Benoît Poelvoorde
nm0688585	Jean-Marie Poiré
nm0689081	Stephen Poliakoff
nm0689385	Jeff Pollack
nm0690213	Leone Pompucci
nm0691078	Angela Pope
nm0691194	Tim Pope
nm0693376	Gerald Potterton
nm0695937	Otto Preminger
nm0696309	Michael Pressman
nm0700641	L.A. Puopolo
nm0701592	Joe Pytka
nm0701821	Marie Pérennou
nm0705535	Michael Radford
nm0706182	Bob Rafelson
nm0707033	Yvonne Rainer
nm0709752	Tony Randel
nm0710372	Mort Ransen
nm0710919	Jean-Paul Rappeneau
nm0711114	Steve Rash
nm0711840	Brett Ratner
nm0712947	Nicholas Ray
nm0712994	Sandip Ray
nm0714599	Eric Red
nm0715346	Carol Reed
nm0716257	Matt Reeves
nm0716585	Godfrey Reggio
nm0718627	Wolfgang Reitherman
nm0718645	Ivan Reitman
nm0720000	Norman René
nm0720304	Adam Resnick
nm0721817	Kevin Reynolds
nm0722221	Phillip Rhee
nm0722493	Michael Ray Rhodes
nm0723685	Matty Rich
nm0723704	Richard Rich
nm0724798	Tony Richardson
nm0730722	Vincent Robert
nm0730860	Bill Roberts
nm0732430	Bruce Robinson
nm0733692	Marc Rocco
nm0734308	David Rocksavage
nm0734319	Alexandre Rockwell
nm0740213	Darrell Roodt
nm0741262	Bernard Rose
nm0742194	Craig Rosenberg
nm0742341	Stuart Rosenberg
nm0742428	Dale Rosenbloom
nm0742568	Seth Zvi Rosenfeld
nm0743239	Benjamin Ross
nm0746889	Humilde 'Meek' Roxas
nm0747724	John Ruane
nm0747849	Joseph Ruben
nm0748218	John Rubino
nm0748928	Alan Rudolph
nm0749914	Raúl Ruiz
nm0750701	Richard Rush
nm0751080	Chuck Russell
nm0751102	David O. Russell
nm0753382	Michael Rymer
nm0754678	Paul Sabella
nm0759207	Victor Salva
nm0759368	Gabriele Salvatores
nm0759410	Hal Salwen
nm0760131	Keith Samples
nm0761879	Åke Sandgren
nm0762263	Mark Sandrich
nm0762541	Arlene Sanford
nm0764776	Deran Sarafian
nm0766402	Paul Satterfield
nm0767110	Claude Sautet
nm0767701	Victor Saville
nm0768597	Louis Saia
nm0769703	Eric Schaeffer
nm0769874	Franklin J. Schaffner
nm0770650	Andrew Scheinman
nm0770942	Richard Schenkman
nm0770961	Fred Schepisi
nm0771652	Greta Schiller
nm0772095	Thomas Schlamme
nm0772259	John Schlesinger
nm0772522	Volker Schlöndorff
nm0773603	Julian Schnabel
nm0775447	Barbet Schroeder
nm0776114	Tom Schulman
nm0776838	Harold D. Schuster
nm0777447	Stefan Schwartz
nm0780117	George Scribner
nm0781842	Peter Segal
nm0782266	Peter Sehr
nm0782682	William A. Seiter
