writer_id	name
nm0000601	Harold Ramis
nm0000614	Alan Rickman
nm0000621	Kurt Russell
nm0000626	John Sayles
nm0000636	William Shakespeare
nm0000638	William Shatner
nm0000658	Meryl Streep
nm0000666	Lili Taylor
nm0000668	Emma Thompson
nm0000671	Billy Bob Thornton
nm0000683	Gore Vidal
nm0000691	John Waters
nm0000694	Wim Wenders
nm0000697	Billy Wilder
nm0000698	Gene Wilder
nm0000709	Robert Zemeckis
nm0000712	Steve Cohen
nm0000720	Jim Abrahams
nm0000740	Irwin Allen
nm0000759	Paul Thomas Anderson
nm0000777	Gregg Araki
nm0000783	Dario Argento
nm0000806	Bille August
nm0000807	Jane Austen
nm0000808	Paul Auster
nm0000812	Roger Avary
nm0000850	Clive Barker
nm0000872	Patrick Bauchau
nm0000875	L. Frank Baum
nm0000876	Noah Baumbach
nm0000886	Warren Beatty
nm0000894	Jean-Jacques Beineix
nm0000905	Roberto Benigni
nm0000914	Robert Benton
nm0000915	Bruce Beresford
nm0000921	Andrew Bergman
nm0000934	Bernardo Bertolucci
nm0000948	Shane Black
nm0000957	Jan de Bont
nm0000983	Albert Brooks
nm0000985	James L. Brooks
nm0001005	Jane Campion
nm0001008	Frank Capra
nm0001023	John Cassavetes
nm0001024	Nick Cassavetes
nm0001031	Claude Chabrol
nm0001037	Graham Chapman
nm0001045	Tommy Chong
nm0001047	Michael Cimino
nm0001053	Ethan Coen
nm0001054	Joel Coen
nm0001060	Chris Columbus
nm0001081	Cameron Crowe
nm0001083	Jon Cryer
nm0001084	Ice Cube
nm0001093	John Dahl
nm0001094	Roald Dahl
nm0001098	Rodney Dangerfield
nm0001104	Frank Darabont
nm0001112	Andrew Davis
nm0001120	Vittorio De Sica
nm0001139	Tom DiCillo
nm0001140	Philip K. Dick
nm0001160	Adrian Dunbar
nm0001175	Blake Edwards
nm0001188	Nora Ephron
nm0001191	Adam Sandler
nm0001202	Rainer Werner Fassbinder
nm0001203	William Faulkner
nm0001214	Mike Figgis
nm0001220	Ian Fleming
nm0001239	John Frankenheimer
nm0001274	Paul Michael Glaser
nm0001279	William Goldman
nm0001294	Graham Greene
nm0001300	John Grisham
nm0001302	Christopher Guest
nm0001325	Hal Hartley
nm0001328	Howard Hawks
nm0001331	Todd Haynes
nm0001338	Brian Helgeland
nm0001353	Walter Hill
nm0001357	Paul Hogan
nm0001379	John Huston
nm0001385	Eric Idle
nm0001392	Peter Jackson
nm0001402	Terry Jones
nm0001403	Neil Jordan
nm0001410	Lawrence Kasdan
nm0001425	Krzysztof Kieslowski
nm0001429	Takeshi Kitano
nm0001437	Emir Kusturica
nm0001438	Neil LaBute
nm0001454	Martin Lawrence
nm0001459	Denis Leary
nm0001465	Elmore Leonard
nm0001466	Sergio Leone
nm0001469	Barry Levinson
nm0001471	Jerry Lewis
nm0001486	Sidney Lumet
nm0001501	Louis Malle
nm0001507	Cheech Marin
nm0001528	Don McKellar
nm0001554	Errol Morris
nm0001587	Alan J. Pakula
nm0001589	Michael Palin
nm0001590	Chazz Palminteri
nm0001596	Pier Paolo Pasolini
nm0001603	Sam Peckinpah
nm0001639	Alex Proyas
nm0001653	Stephen Rea
nm0001661	Rob Reiner
nm0001675	Robert Rodriguez
nm0001676	Nicolas Roeg
nm0001681	George A. Romero
nm0001707	Paul Schrader
nm0001723	Tom Shadyac
nm0001728	Wallace Shawn
nm0001731	Sam Shepard
nm0001752	Steven Soderbergh
nm0001754	Todd Solondz
nm0001769	Howard Stern
nm0001775	Whit Stillman
nm0001779	Tom Stoppard
nm0001789	Andrei Tarkovsky
nm0001801	Robert Towne
nm0001804	Stanley Tucci
nm0001806	John Turturro
nm0001814	Gus Van Sant
nm0001825	Andrew Kevin Walker
nm0001834	Damon Wayans
nm0001873	Steven Zaillian
nm0001874	Franco Zeffirelli
nm0001878	David Zucker
nm0001885	Lars von Trier
nm0001921	Paul Attanasio
nm0001929	Josiane Balasko
nm0001930	Russell Banks
nm0001940	Peter Benchley
nm0001945	Claude Berri
nm0001949	Andrew Birkin
nm0001986	Truman Capote
nm0001988	Marc Caro
nm0002007	Tom Clancy
nm0002009	Arthur C. Clarke
nm0002010	Christian Clavier
nm0002030	George Cukor
nm0002041	Dean Devlin
nm0002042	Charles Dickens
nm0002049	Robert Downey Sr.
nm0002083	Carl Franklin
nm0002120	Lasse Hallström
nm0002132	Amy Heckerling
nm0002133	Ernest Hemingway
nm0002140	Agnieszka Holland
nm0002144	John Houseman
nm0002167	Gianni Amelio
nm0002174	Yves Angelo
nm0002191	Jacques Audiard
nm0002211	Christopher DeFaria
nm0002340	Stuart Gordon
nm0002403	Todd Baker
nm0002616	Anita Loos
nm0002651	Gary Rosen
nm0002657	Gary Ross
nm0002662	Orestes Matacena
nm0002675	Robert Kuhn
nm0002717	Robert C. Jones
nm0002759	Ernesto Gastaldi
nm0002983	Stephen Peters
nm0003031	Caroline Thompson
nm0003032	Bob Ducsay
nm0003088	Chris Noonan
nm0003141	Alan Bennett
nm0003160	Christopher McQuarrie
nm0003201	Tim Sullivan
nm0003298	Scott Rosenberg
nm0003355	Christopher Monger
nm0003369	Karin Howard
nm0003408	Chris Marker
nm0003506	James Mangold
nm0003508	Michel Blanc
nm0003535	Ken Sanzel
nm0003620	Kevin Smith
nm0003662	Graham Yost
nm0003741	Robin Driscoll
nm0003825	Andrew Neiderman
nm0003927	Gyula Gazdag
nm0004056	Andrew Stanton
nm0004111	Mark Frost
nm0004122	Robert Bolt
nm0004170	Bob Kane
nm0004306	George Miller
nm0004332	Robert B. Weide
nm0004366	Tom Wolfe
nm0004412	Ed Solomon
nm0004552	Tom Sito
nm0004675	Phil Alden Robinson
nm0004752	Troy Byer
nm0004767	Joseph Bologna
nm0005036	Gale Anne Hurd
nm0005082	David E. Kelley
nm0005101	Harmony Korine
nm0005124	John Lasseter
nm0005139	Mike Leigh
nm0005212	Ian McKellen
nm0005237	Anthony Minghella
nm0005358	Tim Rice
nm0005366	Jay Roach
nm0005390	Patricia Rozema
nm0005421	Ron Shelton
nm0005436	John Singleton
nm0005540	Keenen Ivory Wayans
nm0005541	Marlon Wayans
nm0005562	Owen Wilson
nm0005618	Alex Zamm
nm0005744	Slawomir Idziak
nm0005917	Joseph Vilsmaier
nm0006085	Arthur Freed
nm0006129	Michael Hoenig
nm0006249	Satyajit Ray
nm0006357	Daniel Schmid
nm0006445	Éric Rohmer
nm0006487	Jim Sheridan
nm0006493	William Brookfield
nm0006585	Erik Shapiro
nm0006625	Steve Barron
nm0006639	Jeff Lieberman
nm0006664	Zdenek Sverák
nm0006798	Matthew Harrison
nm0006835	John Francis Sullivan
nm0006845	Sally Potter
nm0006872	Sergio Donati
nm0006888	Tom Noonan
nm0006894	Michael De Luca
nm0006904	Tony Gilroy
nm0006916	Michael Ritchie
nm0006997	Peter M. Lenkov
nm0007186	Arthur Miller
nm0007233	Bryce Zabel
nm0007366	Jefri Aalmuhammed
nm0008673	Helen Aberson
nm0009029	Peter Abrahams
nm0009190	J.J. Abrams
nm0010434	Gilbert Adair
nm0011206	Max D. Adams
nm0011339	Samantha Adams
nm0011343	Samuel Hopkins Adams
nm0011410	Tracy Adams
nm0011623	Charles Addams
nm0012155	Gilbert Adler
nm0012496	Gilles Adrien
nm0012938	James Agee
nm0015399	Zoe Akins
nm0015611	Ryûnosuke Akutagawa
nm0015801	Aladár László
nm0016718	Eliseo Alberto
nm0017274	Luis Alcoriza
nm0017301	Louisa May Alcott
nm0018348	Curt Alexander
nm0018735	Scott Alexander
nm0018824	Danielle Alexandra
nm0018875	Michel Alexandre
nm0019116	Alberto Alfieri
nm0019341	Daniel Algrant
nm0019706	Joan Alison
nm0019732	Arif Aliev
nm0020022	Ted Allan
nm0020068	Harry Allard
nm0020163	Steven Alldredge
nm0020599	J.T. Allen
nm0020653	Jim Allen
nm0020728	Kevin Allen
nm0021196	Isabel Allende
nm0021249	Roger Allers
nm0021433	Dorothy Allison
nm0021577	Merzak Allouache
nm0021734	Gila Almagor
nm0021899	Michael Almereyda
nm0023395	Charles Alverson
nm0024388	David Ambrose
nm0024554	Deborah Amelon
nm0024894	Jean Meckert
nm0024925	Hossein Amini
nm0025978	Allison Anders
nm0026671	Elizabeth Anderson
nm0026862	Jane Anderson
nm0027011	Ken Anderson
nm0027173	Maxwell Anderson
nm0027271	Paul W.S. Anderson
nm0027572	Wes Anderson
nm0029068	James Andronica
nm0029125	Mark Andrus
nm0029242	André Téchiné
nm0029370	Claude Anet
nm0029642	Roger Angell
nm0030663	Jay Anson
nm0031976	Judd Apatow
nm0032318	Max Apple
nm0032685	Yuriy Arabov
nm0033490	Franco Arcalli
nm0033578	Jeff Arch
nm0033780	William Archibald
nm0035615	Arnold B. Armstrong
nm0035664	Curtis Armstrong
nm0035749	Jerome Armstrong
nm0035836	Mike Armstrong
nm0036714	David Arnott
nm0037053	Gabriel Arout
nm0037708	Miguel Arteta
nm0038432	Kelly Asbury
nm0038609	Ash Baron-Cohen
nm0038611	Albert Ash
nm0039022	Audrey Ashley
nm0039576	Peter Asmussen
nm0040586	Eileen Atkins
nm0040643	Peter Atkins
nm0040852	Leopold Atlas
nm0041722	Michael Auerbach
nm0042179	Jean Aurenche
nm0042472	Michael Austin
nm0042684	Fernand Auwera
nm0043233	Oren Aviv
nm0043480	George Axelrod
nm0044534	Jean-Pierre Azéma
nm0044866	Thomas Babe
nm0045301	Danilo Bach
nm0045321	Jean Bach
nm0045398	Ellyn Bache
nm0045660	Michael Backes
nm0046943	Fax Bahr
nm0047076	Steven Baigelman
nm0047193	Chris Bailey
nm0047748	Beryl Bainbridge
nm0047976	Jon Robin Baitz
nm0048276	Bob Baker
nm0049641	David Baldacci
nm0049721	John L. Balderston
nm0049945	Karen Elise Baldwin
nm0050618	J.G. Ballard
nm0051304	Honoré de Balzac
nm0051748	Helen Bandis
nm0051808	Bibhutibhushan Bandyopadhyay
nm0052209	Lynne Reid Banks
nm0052520	Milt Banta
nm0053096	Dana Baratta
nm0055726	Peter Barnes
nm0057284	Shirley Barrett
nm0057398	Michael Barrie
nm0058129	Philip Barry
nm0058302	Peter Barsocchini
nm0059835	Harry Basil
nm0060076	Kim Bass
nm0060103	Ron Bass
nm0060145	Giorgio Bassani
nm0060760	Janet Scott Batchler
nm0060761	Lee Batchler
nm0060914	H.E. Bates
nm0060915	Harry Bates
nm0061284	Aurelius Battaglia
nm0061337	Joe Batteer
nm0061510	John Tucker Battle
nm0061829	Hans Bauer
nm0061944	Tristán Bauer
nm0062743	Jack Baxter
nm0063511	Wayne Beach
nm0063819	Douglas Carter Beane
nm0064479	Simon Beaufoy
nm0064503	Jérôme Beaujour
nm0064530	Marcel Beaulieu
nm0064546	Trace Beaulieu
nm0064556	Phil Beauman
nm0065847	Michael Frost Beckner
nm0066939	Marc Behm
nm0067103	S.N. Behrman
nm0067248	Larry Beinhart
nm0067308	Ian Hay
nm0067464	Jean-Pierre Bekolo
nm0068109	Christine Bell
nm0068183	Elisa Bell
nm0068914	René Belletto
nm0069282	Peter Bellwood
nm0069715	Rémy Belvaux
nm0069833	María Luisa Bemberg
nm0070142	Roberto Benabib
nm0070159	Jafar Panahi
nm0070361	Robert Benchley
nm0070380	Alessandro Bencivenni
nm0070660	Barbara Benedek
nm0070676	Tom Benedek
nm0071657	Charles Bennett
nm0071790	Harve Bennett
nm0071970	Parker Bennett
nm0072032	Ronan Bennett
nm0072639	Sally Benson
nm0072746	Trevor Bentham
nm0073053	Leonardo Benvenuti
nm0073394	Leonardo Bercovici
nm0073509	John Berendt
nm0073714	Bill Berg
nm0073790	James Berg
nm0074719	Pelle Berglund
nm0074880	Yael Bergman
nm0075044	Eleanor Bergstein
nm0075388	Brian Fair Berkey
nm0075427	Bo Berkman
nm0075626	Alain Berliner
nm0075727	Barry Berman
nm0075834	Rick Berman
nm0075859	Ted Berman
nm0075894	Pat Bermel
nm0076602	Paul Bernbaum
nm0076653	Josef Berne
nm0076748	Harvey Bernhard
nm0077052	Gregory Bernstein
nm0077062	Jack Bernstein
nm0077135	Sara Bernstein
nm0077171	Eric Bernt
nm0078760	Agustina Bessa-Luís
nm0079471	Jonathan R. Betuel
nm0081052	Jack M. Bickham
nm0081189	Ann Biderman
nm0082379	Wendy Biller
nm0082759	Maeve Binchy
nm0083326	Harry Birckmayer
nm0084090	John Bishop
nm0084114	Larry Bishop
nm0084131	Mark Bishop
nm0085648	Thomas W. Blackburn
nm0086282	Jon Blair
nm0086293	Lee Blair
nm0086333	Rikki Beadle Blair
nm0086587	Jeanne Blake
nm0086658	Michael Blake
nm0086820	Michael Blakemore
nm0087490	Dorothy Ann Blank
nm0087904	Barry W. Blaustein
nm0088097	Corey Blechman
nm0088271	Lee Blessing
nm0088397	Bertrand Blier
nm0088645	Robert Bloch
nm0088662	Lawrence G. Blochman
nm0088726	Irving Block
nm0089177	Jeffrey Bloom
nm0089237	Steve Bloom
nm0089397	Roy Blount Jr.
nm0089502	Albert Pyun
nm0089676	Len Blum
nm0089820	Jason Blumenthal
nm0089940	Don Bluth
nm0090066	Reggie Rock Bythewood
nm0090151	Jeffrey Boam
nm0090840	DeWitt Bodeen
nm0091069	James Bodrero
nm0091076	Sergei Bodrov
nm0091650	Jon Bogdanove
nm0091899	Eric Bogosian
nm0092018	Leslie Bohem
nm0092267	Pierre Boileau
nm0092268	Thomas Narcejac
nm0093232	Gabriel Bologna
nm0093328	Tedi Sarafian
nm0093344	Neville Bolt
nm0093397	Guy Bolton
nm0093927	Edward Bond
nm0093965	Jonathan Bond
nm0094558	Vittorio Bonicelli
nm0094726	Pascal Bonitzer
nm0095298	André Bonzel
nm0095460	Ed Boon
nm0095468	Louis Paul Boon
nm0095579	Telsche Boorman
nm0097079	Ole Bornedal
nm0097491	Phillip Borsos
nm0097529	Dave Borthwick
nm0097544	Michael Bortman
nm0098204	Pierre Bost
nm0099429	Daniel Boulanger
nm0099541	Pierre Boulle
nm0100525	Nouri Bouzid
nm0100597	Andrew Bovell
nm0101625	Brandon Boyce
nm0101639	Frank Cottrell Boyce
nm0101956	William Boyd
nm0102339	T. Coraghessan Boyle
nm0102722	Gérard Brach
nm0102818	Charles Brackett
nm0102824	Leigh Brackett
nm0102903	Malcolm Bradbury
nm0102929	Reb Braddock
nm0103357	Omar N. Bradley
nm0103684	Michael Brady
nm0103804	Brannon Braga
nm0104333	Chris Brancato
nm0104335	John Brancato
nm0104707	Gary Brandner
nm0105033	Marcia Brandwynne
nm0105317	Patrick Braoudé
nm0106505	Irving Brecher
nm0106563	Andy Breckman
nm0107322	John G. Brennan
nm0107366	Neal Brennan
nm0107954	Jonathan Brett
nm0108273	Mike Werb
nm0108595	Paul Brickhill
nm0108613	Marshall Brickman
nm0109165	Matthew Bright
nm0109205	Homer Brightman
nm0109300	John Briley
nm0109359	Steven Brill
nm0109432	David Brin
nm0110591	Jeremy Brock
nm0110778	Kevin Brodbin
nm0110832	Patricia Broderick
nm0111313	Louis Bromfield
nm0111576	Charlotte Brontë
nm0111845	Adam Brooks
nm0112218	Richard Brooks
nm0112488	John Brosnan
nm0113061	Art Edler Brown
nm0113164	Bruce Brown
nm0113272	Christy Brown
nm0113689	Harry Brown
nm0113819	Jeffrey D. Brown
nm0114083	Len Brown
nm0114197	Mark Brown
nm0114285	Michael Henry Brown
nm0114526	Riwia Brown
nm0114595	Rosellen Brown
nm0115202	Ricou Browning
nm0115224	John Brownjohn
nm0115310	William Broyles Jr.
nm0115685	Pascal Bruckner
nm0115892	Claude Brulé
nm0116091	Philippe Bruneau
nm0116358	Bob Brunner
nm0116663	Franco Brusati
nm0117530	Brasse Brännström
nm0117955	John Buchan
nm0118164	Lothar G. Buchheim
nm0118214	Harold Buchman
nm0118227	Sidney Buchman
nm0118556	Robert Buckler
nm0118809	Jan Bucquoy
nm0119405	Takashi Bufford
nm0119423	Gordon Buford
nm0119425	Kenny Buford
nm0119542	Jeff Buhai
nm0120459	Ivan Bunin
nm0120837	Peter Burchard
nm0121106	Andy Burg
nm0121256	Anthony Burgess
nm0121708	James Burke
nm0121715	James Lee Burke
nm0122344	Charles Burnett
nm0122364	Frances Hodgson Burnett
nm0122417	Murray Burnett
nm0122446	W.R. Burnett
nm0122484	Sheila Burnford
nm0122653	Edward Burns
nm0122933	William J. Burns
nm0122950	Jim Burnstein
nm0124002	Niven Busch
nm0124918	Frank Butler
nm0124947	Hugo Butler
nm0125706	A.S. Byatt
nm0125803	Bobby Farrelly
nm0126406	Lord Byron
nm0127321	Jürgen Büscher
nm0128906	James M. Cain
nm0128997	Jeffrey Caine
nm0129310	Philippe Caland
nm0131597	Donald G. Payne
nm0131661	Lorne Cameron
nm0131840	Augusto Caminito
nm0133044	Anna Campion
nm0133459	Christopher Canaan
nm0134284	William H. Cannon
nm0135296	Jim Capobianco
nm0136262	Lorenzo Carcaterra
nm0137020	Peter Carey
nm0137342	Cynthia Carle
nm0137363	Carlo Carlei
nm0139111	Glenn Gordon Caron
nm0139591	Allan Carr
nm0140572	James Carrington
nm0140643	Jean-Claude Carrière
nm0140860	Jim Carroll
nm0140902	Lewis Carroll
nm0141281	L.M. Kit Carson
nm0141734	Joseph Carter
nm0141930	Sara Flanigan
nm0142200	Randy Cartwright
nm0142577	Raymond Carver
nm0142899	Denise Casano
nm0143129	David Casci
nm0143558	Warren Casey
nm0143596	Jim Cash
nm0143837	Vera Caspary
nm0143944	Neal Cassady
nm0145309	Nick Castle
nm0147158	André Cayatte
nm0147745	Michael Cedeno
nm0148437	Vincenzo Cerami
nm0148448	Chris Ceraso
nm0148489	Janus Cercone
nm0149331	Joan Claire Chabriel
nm0149446	Gurinder Chadha
nm0149669	Ilene Chaiken
nm0150749	Eric Champnella
nm0150906	Gordon Chan
nm0151358	Elizabeth Chandler
nm0151362	Evan Chandler
nm0151452	Raymond Chandler
nm0152157	Anne Morrison Chapin
nm0152255	Paul Chaplin
nm0152312	Brenda Chapman
nm0152466	Matthew Chapman
nm0152501	Richard Chapman
nm0152638	Dave Chappelle
nm0153546	Leslie Charteris
nm0153777	James Hadley Chase
nm0154773	Martha Cheavens
nm0155009	Anton Chekhov
nm0155093	Peter Chelsom
nm0155157	Baichen Chen
nm0155280	Kaige Chen
nm0155961	Michael S. Chernuchin
nm0156686	François Chevallier
nm0156732	Dick Chevillat
nm0157470	Lincoln Child
nm0157536	Helen Childress
nm0158857	Tsai Ming-liang
nm0160602	Mark Christopher
nm0161003	Dick Chudnow
nm0161536	Carolyn Chute
nm0161717	Patrice Chéreau
nm0162888	Raymond Cistheri
nm0164187	Larry Clark
nm0165412	James Clavell
nm0166074	Dick Clement
nm0166256	Ron Clements
nm0166307	Larry Clemmons
nm0166551	Eric Cleworth
nm0166767	Patrick J. Clifton
nm0167029	Art Clokey
nm0167030	Gloria Clokey
nm0167241	Henri-Georges Clouzot
nm0167496	René Clément
nm0167767	Humphrey Cobb
nm0168020	Randy Sue Coburn
nm0168214	Stacy Cochran
nm0168285	Andrew Cockburn
nm0168298	Leslie Cockburn
nm0168379	Jay Cocks
nm0168759	Franklin Coen
nm0168764	Joseph Coencas
nm0169173	David Aaron Cohen
nm0169325	David Steven Cohen
nm0169348	Eli Cohen
nm0169505	Joel Cohen
nm0169540	Larry Cohen
nm0169548	Lawrence D. Cohen
nm0169556	Lester Cohen
nm0170462	Brandon Cole
nm0170923	Ann Coleman
nm0171372	Colette
nm0171474	Lewis Colick
nm0171664	Cyril Collard
nm0171718	Michael Colleary
nm0171924	John Collier
nm0172830	Carlo Collodi
nm0173679	Betty Comden
nm0173928	Brune Compagnon
nm0173953	Nina Companeez
nm0174304	Nicholas Conde
nm0174410	Richard Condon
nm0174659	Stijn Coninx
nm0174823	Richard Conlin
nm0174840	Gerry Conlon
nm0174934	Shane Connaughton
nm0174974	Del Connell
nm0175028	Richard Connell
nm0175080	Joe Connelly
nm0175239	Frank Conniff
nm0175300	Jon Connolly
nm0175333	Myles Connolly
nm0175620	Chris Conrad
nm0175676	Joseph Conrad
nm0176497	Ernie Contreras
nm0177018	Douglas Cook
nm0177170	Lorna Cook
nm0177875	Barry Michael Cooper
nm0178126	James Fenimore Cooper
nm0178294	Paul W. Cooper
nm0178518	Robert Coover
nm0178769	Rick Copp
nm0178785	Alec Coppel
nm0179120	Richard Corben
nm0179215	Andrée Corbiau
nm0179216	Gérard Corbiau
nm0179968	David L. Corley
nm0180644	Eugene Corr
nm0180984	Kevin Corrigan
nm0181117	Catherine Corsini
nm0181658	Norman Corwin
nm0181924	Jean Cosmos
nm0182873	Manny Coto
nm0183183	William Cottrell
nm0184046	Pascal Cousin
nm0184689	Jack Cowden
nm0185084	Jim Cox
nm0185578	Peter Crabbe
nm0186118	Mildred Cram
nm0187232	Richard Creedon
nm0187593	John Cresswell
nm0187769	Charles Crichton
nm0188165	Michael Cristofer
nm0188521	Emma-Kate Croghan
nm0188580	Ken Cromar
nm0188669	John Cromwell
nm0189105	Alison Cross
nm0189496	Russel Crouse
nm0189610	Christopher Crowe
nm0189979	Jim Cruickshank
nm0190169	Chris Crutcher
nm0191547	Johnston McCulley
nm0192090	Rusty Cundieff
nm0192342	Jere Cunningham
nm0192356	John W. Cunningham
nm0192384	Lowell Cunningham
nm0192996	Sheldon Currie
nm0193009	Barbara Turner
nm0193303	Dan Curtis
nm0193370	Jamie Curtis
nm0193485	Richard Curtis
nm0193554	Vondie Curtis-Hall
nm0194274	Catherine Cyran
nm0194547	Gerardo Cáceres
nm0195899	Marcello D'Orta
nm0196119	Don DaGradi
nm0196967	Rick Dahl
nm0200164	Shell Danielson
nm0200473	Marcello Danon
nm0200978	Jonathan Darby
nm0201063	Frédéric Dard
nm0201094	Jean-Pierre Dardenne
nm0201095	Luc Dardenne
nm0201304	Gregory Poirier
nm0202681	Delmer Daves
nm0203577	Andrew Davies
nm0203993	Terence Davies
nm0204016	Valentine Davies
nm0204313	Carlos Davis
nm0204456	Deborah Dean Davis
nm0204618	Marc Davis
nm0205569	Tom Davis
nm0205923	George Dawes Green
nm0206695	Daying Ye
nm0207305	Jeanne-Marie Leprince de Beaumont
nm0207365	Vittorio de Benedetti
nm0207401	Piero De Bernardi
nm0208342	Frank De Felitta
nm0208854	Rolf de Heer
nm0209667	Marcus DeLeon
nm0209918	Rudy De Luca
nm0210112	Merrill De Maris
nm0210701	Manoel de Oliveira
nm0211823	Steven E. de Souza
nm0213116	Nick Dear
nm0213234	Frank Deasy
nm0213499	Guy Debord
nm0213726	Tom DeCerchio
nm0214518	Daniel Defoe
nm0214659	Brian Degas
nm0214663	Andre Degas
nm0215269	Fred Dekker
nm0216381	Jean Delannoy
nm0218621	James DeMonaco
nm0218840	Jacques Demy
nm0219136	Claire Denis
nm0219670	Roger Q. Denny
nm0219720	Pen Densham
nm0222079	Helen Deutsch
nm0222584	D.V. DeVincentis
nm0222757	Barry Devlin
nm0222874	Lorraine Devon Wilke
nm0223320	Peter Dexter
nm0223844	Michael J. Di Gaetano
nm0224187	Gerald Di Pego
nm0224634	I.A.L. Diamond
nm0224670	Lon Diamond
nm0225235	Kevin DiCicco
nm0225283	R.A. Dick
nm0225820	Joan Didion
nm0225942	William Diehl
nm0226343	Lew Dietz
nm0226538	John Dighton
nm0226679	Phil Dike
nm0227540	Mark Dindal
nm0227779	Greg Dinner
nm0228013	Djibril Diop Mambéty
nm0228147	Mark A.Z. Dippé
nm0228400	Tim Disney
nm0228693	Beulah Marie Dix
nm0228908	Leslie Dixon
nm0229644	Lem Dobbs
nm0229955	Stephen Dobyns
nm0230032	Pete Docter
nm0230196	David Dodge
nm0230449	Johan Doesburg
nm0230695	Jacques Doillon
nm0231639	Jeannine Dominy
nm0231652	Solveig Dommartin
nm0231909	Tom Donaghy
nm0232924	Walter Donohue
nm0233094	Seth Michael Donsky
nm0233223	Richard Dooling
nm0233233	John Doolittle
nm0233557	Ariel Dorfman
nm0233757	Jaco Van Dormael
nm0234837	Don Dougherty
nm0236305	Carol Doyle
nm0236486	Roddy Doyle
nm0236884	Diane Drake
nm0237225	Jay Dratler
nm0237543	Hal Dresner
nm0238256	Kevin Droney
nm0238668	Ann Druyan
nm0238743	Susan Warms Dryfoos
nm0238778	Lee Drysdale
nm0238898	Daphne Du Maurier
nm0239260	Martin Duberman
nm0239822	Rémy Duchemin
nm0240357	Alan Duff
nm0240384	James Duff
nm0240987	Martine Dugowson
nm0241090	John Duigan
nm0241092	Virginia Duigan
nm0241416	Alexandre Dumas
nm0241577	Petru Dumitriu
nm0242028	Lois Duncan
nm0242059	Patrick Sheane Duncan
nm0242064	Peter Duncan
nm0242869	John Gregory Dunne
nm0242897	Philip Dunne
nm0243191	François Dupeyron
nm0243982	Paul Durden
nm0245235	Frank Dux
nm0245435	Laurence Dworet
nm0245499	Jim Dwyer
nm0245726	Gretchen Dyer
nm0246159	Nana Dzhordzhadze
nm0246503	Agustín Díaz Yanes
nm0246903	Doris Dörrie
nm0251188	John Ehle
nm0251328	Kerry Ehrin
nm0252065	Bernard Eisenschitz
nm0252155	Philip Eisner
nm0253214	Laurice Elehwany
nm0253323	Harry Elfont
nm0253428	Caroline Eliacheff
nm0253652	George Eliot
nm0254085	Tom Ellery
nm0254120	Doug Ellin
nm0254402	Chris Elliott
nm0254632	Stephan Elliott
nm0254645	Ted Elliott
nm0254945	Kirk Ellis
nm0255008	Novalyne Price Ellis
nm0255133	Trey Ellis
nm0255278	James Ellroy
nm0256722	John Enbom
nm0256779	Michael Ende
nm0257481	Otto Englander
nm0258059	Thom Enriquez
nm0258286	Delia Ephron
nm0258370	Tom Epperson
